Año,Grupo Compañía,Pasillo,Fabricante,Pasajeros
2009,AIRBERLIN GROUP,Pasillo único,Airbus,4717694
2009,AIRBERLIN GROUP,Pasillo único,Boeing,6369117
2009,AIRBERLIN GROUP,Pasillo único,Otros,16518
2009,BINTER CANARIAS,Pasillo único,Airbus,488
2009,BINTER CANARIAS,Pasillo único,Otros,5272805
2009,EASYJET,Pasillo único,Airbus,10664897
2009,EASYJET,Pasillo único,Boeing,917289
2009,EASYJET,Pasillo único,Otros,12610
2009,GRUPO IBERIA,Doble pasillo,Airbus,4689850
2009,GRUPO IBERIA,Doble pasillo,Boeing,1925
2009,GRUPO IBERIA,Pasillo único,Airbus,25522254
2009,GRUPO IBERIA,Pasillo único,Boeing,31392
2009,GRUPO IBERIA,Pasillo único,Otros,8225176
2009,LUFTHANSA GROUP,Doble pasillo,Airbus,75627
2009,LUFTHANSA GROUP,Doble pasillo,Boeing,0
2009,LUFTHANSA GROUP,Pasillo único,Airbus,3641649
2009,LUFTHANSA GROUP,Pasillo único,Boeing,1139139
2009,LUFTHANSA GROUP,Pasillo único,Otros,687883
2009,RYANAIR GROUP,Pasillo único,Airbus,2704
2009,RYANAIR GROUP,Pasillo único,Boeing,19590780
2009,RYANAIR GROUP,Pasillo único,Otros,72832
2009,TUI GROUP,Doble pasillo,Airbus,763
2009,TUI GROUP,Doble pasillo,Boeing,374725
2009,TUI GROUP,Pasillo único,Airbus,615390
2009,TUI GROUP,Pasillo único,Boeing,4975352
2009,TUI GROUP,Pasillo único,Otros,6822
2009,"VUELING AIRLINES, S.A.",Doble pasillo,Airbus,493
2009,"VUELING AIRLINES, S.A.",Pasillo único,Airbus,11442796
2009,"VUELING AIRLINES, S.A.",Pasillo único,Boeing,22453
2009,"VUELING AIRLINES, S.A.",Pasillo único,Otros,4134
2010,AIR EUROPA,Doble pasillo,Airbus,1080487
2010,AIR EUROPA,Doble pasillo,Boeing,304811
2010,AIR EUROPA,Pasillo único,Airbus,2663
2010,AIR EUROPA,Pasillo único,Boeing,10816718
2010,AIR EUROPA,Pasillo único,Otros,2311966
2010,AIR FRANCE-KLM GROUP,Doble pasillo,Airbus,258
2010,AIR FRANCE-KLM GROUP,Doble pasillo,Boeing,0
2010,AIR FRANCE-KLM GROUP,Pasillo único,Airbus,1189914
2010,AIR FRANCE-KLM GROUP,Pasillo único,Boeing,3116673
2010,AIR FRANCE-KLM GROUP,Pasillo único,Otros,453472
2010,AIRBERLIN GROUP,Doble pasillo,Airbus,945692
2010,AIRBERLIN GROUP,Pasillo único,Airbus,6301005
2010,AIRBERLIN GROUP,Pasillo único,Boeing,5322773
2010,AIRBERLIN GROUP,Pasillo único,Otros,24941
2010,BINTER CANARIAS,Pasillo único,Airbus,144
2010,BINTER CANARIAS,Pasillo único,Otros,5058671
2010,EASYJET,Doble pasillo,Boeing,8640
2010,EASYJET,Pasillo único,Airbus,11390164
2010,EASYJET,Pasillo único,Boeing,524474
2010,EASYJET,Pasillo único,Otros,13388
2010,GRUPO IBERIA,Doble pasillo,Airbus,5096318
2010,GRUPO IBERIA,Pasillo único,Airbus,23750421
2010,GRUPO IBERIA,Pasillo único,Boeing,1282
2010,GRUPO IBERIA,Pasillo único,Otros,7673483
2010,LUFTHANSA GROUP,Doble pasillo,Airbus,4980
2010,LUFTHANSA GROUP,Doble pasillo,Boeing,1996
2010,LUFTHANSA GROUP,Pasillo único,Airbus,4204620
2010,LUFTHANSA GROUP,Pasillo único,Boeing,1142446
2010,LUFTHANSA GROUP,Pasillo único,Otros,660879
2010,RYANAIR GROUP,Doble pasillo,Airbus,1045
2010,RYANAIR GROUP,Doble pasillo,Boeing,230
2010,RYANAIR GROUP,Pasillo único,Airbus,3739
2010,RYANAIR GROUP,Pasillo único,Boeing,26491290
2010,RYANAIR GROUP,Pasillo único,Otros,120263
2010,TUI GROUP,Doble pasillo,Airbus,1670
2010,TUI GROUP,Doble pasillo,Boeing,421660
2010,TUI GROUP,Pasillo único,Airbus,615521
2010,TUI GROUP,Pasillo único,Boeing,4970594
2010,TUI GROUP,Pasillo único,Otros,215857
2010,"VUELING AIRLINES, S.A.",Doble pasillo,Airbus,1451
